position,name,team,
GK,Thomas Sørensen,1, Stoke City
GK,Stephan Andersen,1, Evian
DF,Simon Kjær,1, Roma
DF,Daniel Wass,1, Evian
DF,Lars Jacobsen,1, København
DF,Daniel Agger,1, Liverpool
DF,Simon Poulsen,1, AZ
DF,Andreas Bjelland,1, Nordsjælland
MF,Christian Poulsen,1, Evian
MF,William Kvist,1, VfB Stuttgart
MF,Michael Silberbauer,1, Young Boys
MF,Lasse Schøne,1, NEC
MF,Jakob Poulsen,1, Midtjylland
MF,Christian Eriksen,1, Ajax
MF,Niki Zimling,1, Club Brugge
FW,Nicklas Bendtner,1, Sunderland
FW,Tobias Mikkelsen,1, Nordsjælland
FW,Mads Junker,1, Roda
FW,Dennis Rommedahl,1, Brøndby
FW,Michael Krohn-Dehli,1,
GK,Joe Hart,2, Manchester City
GK,Robert Green,2, West Ham United
GK,Scott Carson,2, Bursaspor
DF,Ashley Cole,2, Chelsea
DF,Joleon Lescott,2, Manchester City
DF,Micah Richards,2, Manchester City
DF,Gary Cahill,2, Chelsea
DF,Leighton Baines,2, Everton
DF,Phil Jones,2, Manchester United
DF,Chris Smalling,2, Manchester United
MF,Steven Gerrard,2, Liverpool
MF,Gareth Barry,2, Manchester City
MF,Stewart Downing,2, Liverpool
MF,James Milner,2, Manchester City
MF,Theo Walcott,2, Arsenal
MF,Ashley Young,2, Manchester United
MF,Scott Parker,2, Tottenham Hotspur
MF,Adam Johnson,2, Manchester City
FW,Danny Welbeck,2, Manchester United
FW,Fraizer Campbell,2, Sunderland
FW,Daniel Sturridge,2, Chelsea
GK,Hugo Lloris (captain),3, Lyon
GK,Steve Mandanda,3, Marseille
GK,Cédric Carrasso,3, Bordeaux
DF,Mathieu Debuchy,3, Lille
DF,Patrice Evra,3, Manchester United
DF,Adil Rami,3, Valencia
DF,Philippe Mexès,3, Milan
DF,Mamadou Sakho,3, Paris Saint-Germain
DF,Anthony Réveillère,3, Lyon
DF,Éric Abidal,3, Barcelona
MF,Yohan Cabaye,3, Newcastle United
MF,Franck Ribéry,3, Bayern Munich
MF,Mathieu Valbuena,3, Marseille
MF,Samir Nasri,3, Manchester City
MF,Florent Malouda,3, Chelsea
MF,Yann M'Vila,3, Rennes
MF,Alou Diarra,3, Marseille
MF,Marvin Martin,3, Sochaux
MF,Morgan Amalfitano,3, Marseille
FW,Olivier Giroud,3, Montpellier
FW,Louis Saha,3, Tottenham Hotspur
FW,Jérémy Menez,3, Paris Saint-Germain
FW,Kévin Gameiro,3, Paris Saint-Germain
GK,Alexandros Tzorvas,4,
GK,Orestis Karnezis,4,
DF,Giannis Maniatis,4,
DF,Iosif Cholevas,4,
DF,Nikos Spyropoulos,4,
DF,Avraam Papadopoulos,4,
DF,Vasilis Torosidis,4,
DF,Sokratis Papastathopoulos,4, Werder Bremen
DF,Kyriakos Papadopoulos,4, Schalke 04
MF,Grigoris Makos,4, AEK Athens
MF,Giorgos Karagounis,4, Panathinaikos
MF,Kostas Fortounis,4, Kaiserslautern
MF,Giorgos Fotakis,4, PAOK
MF,Kostas Katsouranis,4, Panathinaikos
MF,Giannis Fetfatzidis,4, Olympiacos
FW,Giorgos Samaras,4, Celtic
FW,Nikos Lyberopoulos,4, AEK Athens
FW,Stefanos Athanasiadis,4, PAOK
FW,Dimitris Salpigidis,4, PAOK
FW,Theofanis Gekas,4, Samsunspor
FW,Lazaros Christodoulopoulos,4, Panathinaikos
GK,Maarten Stekelenburg,5, Roma
GK,Michel Vorm,5, Swansea City
GK,Tim Krul,5, Newcastle United
DF,John Heitinga,5, Everton
DF,Joris Mathijsen,5, Málaga
DF,Khalid Boulahrouz,5, VfB Stuttgart
DF,Erik Pieters,5, PSV
DF,Jeffrey Bruma,5, Hamburger SV
DF,Ron Vlaar,5, Feyenoord
MF,Mark van Bommel ,5, Milan
MF,Nigel de Jong,5, Manchester City
MF,Wesley Sneijder,5, Internazionale
MF,Arjen Robben,5, Bayern Munich
MF,Rafael van der Vaart,5, Tottenham Hotspur
MF,Ibrahim Afellay,5, Barcelona
MF,Demy de Zeeuw,5, Spartak Moscow
MF,Urby Emanuelson,5, Milan
FW,Dirk Kuyt,5, Liverpool
FW,Robin van Persie,5, Arsenal
FW,Klaas-Jan Huntelaar,5, Schalke 04
FW,Luuk de Jong,5, Twente
FW,Luciano Narsingh,5, Heerenveen
FW,Eljero Elia,5, Juventus
GK,Shay Given,6, Aston Villa
GK,David Forde,6, Millwall
GK,Stephen Henderson,6, West Ham
DF,John O'Shea,6, Sunderland
DF,Shane Duffy,6, Everton
DF,Sean St Ledger,6, Leicester City
DF,Darren O'Dea,6, Leeds United
DF,Stephen Ward,6, Wolverhampton Wanderers
DF,Kevin Foley,6, Wolverhampton Wanderers
MF,Damien Duff,6, Fulham
MF,Aiden McGeady,6, Spartak Moscow
MF,Stephen Hunt,6, Wolverhampton Wanderers
MF,Glenn Whelan,6, Stoke City
MF,Keith Andrews,6, West Bromwich Albion
MF,Paul Green,6, Derby County
MF,Keith Fahey,6, Birmingham City
MF,Séamus Coleman,6, Everton
MF,James McCarthy,6, Wigan Athletic
MF,James McClean,6, Sunderland
FW,Robbie Keane,6, Los Angeles Galaxy
